3,4
9,10
1,4
7,4
7,10
13,10
1,2
7,8
5,2
5,8
11,8
11,14
5,6
11,12
15,16
21,22
19,16
19,22
25,22
25,27
19,20
25,26
17,20
23,20
23,26
28,26
17,18
23,24
31,32
37,38
29,32
35,32
35,38
41,38
29,30
35,36
33,30
33,36
39,36
39,42
33,34
39,40
43,44
49,50
47,44
47,50
53,50
53,55
47,48
53,54
45,48
51,48
51,54
56,54
45,46
51,52
1,16
29,16
29,44
57,44
17,2
17,30
45,30
45,58
19,4
19,32
47,32
47,59
5,20
33,20
33,48
60,48
7,22
35,22
35,50
61,50
23,8
23,36
51,36
51,62
25,10
25,38
53,38
53,63
11,26
39,26
39,54
64,54
